station_code,country,lat,lon,n_obs
CZPLA-148,CZ,50.25652,15.67876,7
CZPLA-15,CZ,50.03330,15.61820,42
CZPLA-151,CZ,50.27934,15.16047,5
CZPLA-152,CZ,50.27114,15.18826,3
CZPLA-157,CZ,50.15172,15.00953,4
CZPLA-16,CZ,50.01996,15.35035,21
CZPLA-160,CZ,50.63061,15.46513,1
CZPLA-161,CZ,50.59129,15.33163,6
CZPLA-162,CZ,50.78477,15.22160,3
CZPLA-163,CZ,50.73598,15.30820,3
CZPLA-164,CZ,50.73915,15.30789,4
CZPLA-165,CZ,50.57773,15.14883,2
CZPLA-166,CZ,50.55059,15.04707,7
CZPLA-167,CZ,50.55970,14.97843,7
CZPLA-17,CZ,50.02315,15.30315,11
CZPLA-170,CZ,50.47008,14.94172,2
CZPLA-171,CZ,50.40753,14.90118,2
CZPLA-172,CZ,50.22734,14.57967,4
CZPLA-173,CZ,50.27681,14.54942,1
CZPLA-174,CZ,50.30192,14.46685,9
CZPLA-175,CZ,50.78655,15.02574,3
CZPLA-177,CZ,50.81701,14.96474,5
CZPLA-178,CZ,50.89466,15.14379,3
CZPLA-179,CZ,50.90566,15.11913,3
CZPLA-180,CZ,50.92727,15.09064,6
CZPLA-183,CZ,50.76161,15.39739,1
CZPLA-199,CZ,,,10
CZPLA-20,CZ,50.18727,15.06301,15
CZPLA-216,CZ,,,11
CZPLA-22,CZ,50.63198,15.46369,8
CZPLA-225,CZ,49.95967,15.91213,3
CZPLA-23,CZ,50.63345,15.30030,13
CZPLA-232,CZ,50.63277,15.51936,3
CZPLA-24,CZ,50.63419,15.30020,28
CZPLA-240,CZ,50.18035,14.83548,35
CZPLA-241,CZ,50.31138,14.49606,40
CZPLA-242,CZ,50.72533,14.18654,28
CZPLA-246,CZ,50.88745,14.23430,31
CZPLA-248,CZ,50.88711,14.23436,1
CZPLA-25,CZ,50.57152,15.06070,23
CZPLA-27,CZ,50.39643,14.87611,7
CZPLA-279,CZ,50.14121,15.36524,5
CZPLA-287,CZ,50.38785,15.93065,6
CZPLA-289,CZ,50.08531,15.84232,5
CZPLA-291,CZ,50.74649,15.06455,5
CZPLA-293,CZ,50.76542,15.05730,2
CZPLA-304,CZ,,,5
CZPLA-310,CZ,50.24914,14.77527,19
CZPLA-311,CZ,50.12738,15.24178,37
CZPLA-312,CZ,50.03667,15.90665,24
CZPLA-325,CZ,50.23828,16.31434,17
CZPLA-33,CZ,50.52536,14.19808,12
CZPLA-333,CZ,50.02953,15.62161,7
CZPLA-334,CZ,49.87554,15.33525,5
CZPLA-341,CZ,50.53934,14.06208,4
CZPLA-343,CZ,50.05700,15.17551,20
CZPLA-346,CZ,50.57473,15.96020,5
CZPLA-35,CZ,50.63631,14.04975,6
CZPLA-352,CZ,50.67861,15.91105,9
CZPLA-367,CZ,50.54023,15.83581,3
CZPLA-368,CZ,50.68076,15.78624,2
CZPLA-369,CZ,50.67654,15.79407,3
CZPLA-371,CZ,50.57910,15.96530,2
CZPLA-372,CZ,50.52901,15.96076,2
CZPLA-376,CZ,50.77781,15.41125,2
CZPLA-380,CZ,50.63586,15.05614,3
CZPLA-381,CZ,50.62669,14.98694,2
CZPLA-388,CZ,50.09361,16.70581,2
CZPLA-39,CZ,50.73467,15.10575,10
CZPLA-390,CZ,50.44937,16.19892,1
CZPLA-392,CZ,50.14211,16.57941,2
CZPLA-398,CZ,50.17046,16.28790,5
CZPLA-4,CZ,50.36683,15.91128,19
CZPLA-400,CZ,49.87753,16.05082,6
CZPLA-403,CZ,49.81040,15.53203,4
CZPLA-409,CZ,50.25023,15.64726,3
CZPLA-41,CZ,50.85454,14.82351,36
CZPLA-414,CZ,49.90502,15.06065,7
CZPLA-42,CZ,51.01453,15.03312,28
CZPLA-43,CZ,50.19748,15.98117,20
CZPLA-435,CZ,49.84635,15.95656,1
CZPLA-44,CZ,50.00815,15.28530,2
CZPLA-445,CZ,50.04123,15.00659,6
CZPLA-449,CZ,50.03527,15.02829,12
CZPLA-45,CZ,50.19173,15.49519,24
CZPLA-46,CZ,50.17726,15.54767,14
CZPLA-47,CZ,50.18350,15.04111,4
CZPLA-48,CZ,50.15971,15.01084,17
CZPLA-49,CZ,50.20468,14.95118,14
CZPLA-5,CZ,50.35608,15.93120,29
CZPLA-50,CZ,50.16240,14.79498,7
CZPLA-503,CZ,49.84202,16.50906,1
CZPLA-51,CZ,50.79163,14.23238,10
CZPLA-52,CZ,50.55053,16.40393,27
CZPLA-531,CZ,50.03331,16.20205,2
CZPLA-55,CZ,50.21902,15.83217,6
CZPLA-56,CZ,50.28691,16.05955,5
CZPLA-569,CZ,50.58671,16.40734,5
CZPLA-58,CZ,50.01496,15.79626,30
CZPLA-59,CZ,50.37377,15.54489,11
CZPLA-6,CZ,50.34142,15.92596,27
CZPLA-606,CZ,50.77366,15.40649,1
CZPLA-614,CZ,50.23825,15.51999,4
CZPLA-649,CZ,50.51818,15.44145,1
CZPLA-672,CZ,50.21345,15.12691,6
CZPLA-680,CZ,49.99156,16.55816,4
CZPLA-681,CZ,50.06527,16.14218,3
CZPLA-7,CZ,50.21318,15.82747,28
CZPLA-711,CZ,50.23428,15.13431,2
CZPLA-731,CZ,50.03298,16.49748,1
CZPLA-747,CZ,50.14776,16.47735,5
CZPLA-749,CZ,50.13903,16.19760,1
CZPLA-750,CZ,50.08655,16.70824,3
CZPLA-751,CZ,50.29569,16.25921,2
CZPLA-752,CZ,50.29378,16.14913,1
CZPLA-753,CZ,49.74546,15.86302,2
CZPLA-754,CZ,49.87138,15.49706,1
CZPLA-755,CZ,49.89085,15.41037,3
CZPLA-756,CZ,50.87153,14.82713,5
CZPLA-757,CZ,50.76275,15.39619,4
CZPLA-758,CZ,49.86978,15.85997,1
CZPLA-8,CZ,50.12207,16.14652,35
CZPLA-811,CZ,50.48352,15.69465,4
CZPLA-845,CZ,50.18974,16.39988,1
CZPLA-85,CZ,50.80768,15.29302,6
