scope,key,n,samples,samples_below,below_loq,loq_gt_30pct_eqs,below_loq_no_loq,no_loq_any,qc_loq_unknown,declared_and_bounded,declared_not_bounded,undeclared_but_bounded,silent,has_eqs,loq_gt_eqs,censored,censored_with_value
substance,"1,1,1-trichloroethane",15131,86774,60565,13915,0,0,1210,1210,13911,0,10,1210,0,0,13890,13890
substance,Malathion,13520,96637,76097,12339,0,0,1118,1118,12381,0,21,1118,0,0,12241,12241
substance,Parathion,13201,90570,72146,12265,0,0,935,935,12247,0,19,935,0,0,12225,12225
substance,Ethylbenzene,13173,74004,63252,12408,0,0,737,737,12429,0,7,737,0,0,12339,12339
substance,Prometryn,12920,93431,78409,12065,0,0,841,841,12051,0,28,841,0,0,11946,11946
substance,"1,2-dichlorobenzene",12770,68237,66094,12445,0,0,318,318,12442,0,10,318,0,0,12408,12408
substance,Dicofol,12738,83648,75098,12428,5521,0,269,269,12469,0,0,269,12738,4006,12333,12333
substance,Aclonifen,12711,89963,88778,12696,1438,0,2,2,12709,0,0,2,12711,119,12497,12497
substance,Parathion-methyl,12485,82462,64337,11532,0,0,945,945,11525,0,15,945,0,0,11511,11511
substance,Dimethoate,12346,93955,70454,11058,0,0,1247,1247,11072,0,27,1247,0,0,10831,10831
substance,Desethylatrazine,12343,88350,64342,10912,0,0,1130,1130,11213,0,0,1130,0,0,10483,10483
substance,Heptachlor epoxide,12298,79243,74657,11786,0,0,447,447,11848,0,3,447,0,0,11742,11742
substance,"1,3-dichlorobenzene",12224,65338,63380,11904,0,0,317,317,11901,0,6,317,0,0,11885,11885
substance,Quinoxyfen,12064,87539,87385,12052,769,0,2,2,12062,0,0,2,12064,121,12039,12039
substance,Non-ionised ammonia,11899,88636,18058,6370,0,0,4211,0,7688,193,0,4018,0,0,5299,5118
substance,Pendimethalin,11631,83706,62566,10717,0,0,794,794,10837,0,0,794,0,0,10006,10004
substance,Barium,11545,74074,9892,2537,0,0,985,985,10530,0,30,985,0,0,1759,1759
substance,Glyphosate,11496,79700,48487,9869,7795,0,184,184,11312,0,0,184,11496,826,6832,6832
substance,"1,4-dichlorobenzene",11468,58460,57079,11272,0,0,195,195,11269,0,4,195,0,0,11261,11261
substance,O-xylene,11346,60046,59245,11283,0,0,55,55,11284,0,7,55,0,0,11227,11227
substance,Bifenox,11129,76366,76099,11119,3974,0,2,2,11127,0,0,2,11129,1959,11093,11093
substance,Chlorobenzene,11102,63724,59716,10796,0,0,304,304,10792,0,6,304,0,0,10777,10777
substance,Metribuzin,11021,78144,65113,10532,0,0,465,465,10545,0,11,465,0,0,10240,10238
substance,Cybutryne,11015,78834,78223,11011,10160,0,0,0,11015,0,0,0,11015,3674,10975,10975
substance,Cobalt and its compounds,10975,77995,56196,9349,0,0,1054,1054,9905,0,16,1054,0,0,8915,8910
substance,Propazine,10910,69947,55107,10000,0,0,839,839,10071,0,0,839,0,0,9969,9969
substance,Boron,10700,74221,21242,5156,0,0,628,628,10070,0,2,628,0,0,4036,4036
