substance,cas,annex_i_category,eu_aa_eqs_ug_l,station_years,station_years_with_eqs,below_loq,no_flag_no_limit,loq_above_eqs,loq_above_30pct_eqs,pct_failing_legal_criterion
"PCB 28 (2,4,4’-trichlorobiphenyl)",,,,1243,0,1114,81,0,0,
Bis(pentabromophenyl) ether,,,,1239,0,1023,44,0,0,
Thiabendazole,,,,1221,0,1217,0,0,0,
Azitromycin,,,,1214,1214,1119,0,926,1195,98.43
Fluquinconazole,,,,1211,0,1099,102,0,0,
Fluorine,,,,1195,0,206,236,0,0,
Diethyltoluamide (DEET),,,,1185,0,1037,0,0,0,
Deltamethrin,,,,1125,1125,1125,0,1125,1125,100.00
Azinphos-methyl,,,,1124,0,1124,0,0,0,
"2,3,4,6-tetrachlorophenol",,,,1118,0,1118,0,0,0,
Sulfamethoxazol,,,,1104,0,934,1,0,0,
Bifenthrin,,,,1100,1100,1100,0,1100,1100,100.00
Esfenvalerate,,,,1098,1098,1098,0,1098,1098,100.00
Deisopropyldeethylatrazine,,,,1068,0,1049,10,0,0,
"1,2,3-trichloropropane",,,,1066,0,1066,0,0,0,
Iodofenphos,,,,1052,0,944,108,0,0,
Free cyanide,,,,1040,0,756,2,0,0,
Ioxynil,,,,1031,0,818,212,0,0,
"1,2,5,6,9,10-hexabromocyclododecane",,,,1028,0,1028,0,0,0,
Bromochloromethane,,,,1019,0,1019,0,0,0,
Octabromodiphenyl ether,,,,1001,0,818,24,0,0,
Monolinuron,,,,994,0,994,0,0,0,
"2,2-dichloropropane",,,,959,0,959,0,0,0,
Benzotriazol,,,,954,0,299,3,0,0,
Fonofos,,,,946,0,946,0,0,0,
Chloridazon desphenyl,,,,943,0,698,0,0,0,
Captan,,,,942,0,883,59,0,0,
Bromophos,,,,931,0,931,0,0,0,
"PCB 52 (2,2’,5,5’-tetrachlorobiphenyl)",,,,929,0,785,77,0,0,
"PCB 153 (2,2’,4,4’,5,5’-hexachlorobiphenyl)",,,,928,0,746,79,0,0,
"PCB 138 (2,2’,3,4,4’,5’-hexachlorobiphenyl)",,,,928,0,760,65,0,0,
