lon,lat,country,country_pct_silent
15.99091,49.21106,CZ,3.337
16.03263,49.33873,CZ,3.337
15.89445,49.09614,CZ,3.337
17.56290,49.21062,CZ,3.337
17.48236,49.12931,CZ,3.337
15.56754,49.02387,CZ,3.337
15.65798,48.98610,CZ,3.337
15.87792,48.98492,CZ,3.337
16.02395,48.92758,CZ,3.337
16.20163,48.92090,CZ,3.337
16.35669,49.50197,CZ,3.337
17.00240,49.27419,CZ,3.337
17.08271,49.14820,CZ,3.337
17.96450,49.41767,CZ,3.337
17.89817,49.49885,CZ,3.337
18.00165,49.31204,CZ,3.337
18.00457,49.31141,CZ,3.337
17.72605,49.57181,CZ,3.337
15.81606,48.89398,CZ,3.337
16.46896,48.81925,CZ,3.337
15.46558,49.13392,CZ,3.337
15.44382,49.14090,CZ,3.337
16.21504,48.88453,CZ,3.337
15.44064,49.07944,CZ,3.337
15.56879,49.04341,CZ,3.337
15.95437,49.33455,CZ,3.337
16.33099,49.12829,CZ,3.337
15.72768,49.33442,CZ,3.337
15.59198,49.36340,CZ,3.337
15.74264,49.34366,CZ,3.337
15.46912,49.34566,CZ,3.337
15.51516,49.40996,CZ,3.337
15.88138,48.98416,CZ,3.337
15.93588,49.21541,CZ,3.337
16.01521,49.36401,CZ,3.337
16.09750,49.27591,CZ,3.337
16.14667,49.04809,CZ,3.337
16.11702,49.03634,CZ,3.337
15.87827,49.09123,CZ,3.337
15.87137,49.21231,CZ,3.337
15.48275,49.30361,CZ,3.337
16.85386,48.80374,CZ,3.337
16.93543,48.97482,CZ,3.337
16.85417,48.76309,CZ,3.337
16.31198,49.55640,CZ,3.337
16.42459,49.36605,CZ,3.337
16.42414,49.27052,CZ,3.337
16.40131,49.35633,CZ,3.337
16.35434,49.36053,CZ,3.337
16.56872,49.12028,CZ,3.337
16.57048,49.54016,CZ,3.337
16.45724,49.27840,CZ,3.337
16.35101,49.35688,CZ,3.337
16.84968,49.12894,CZ,3.337
16.33650,49.45653,CZ,3.337
16.65325,49.34881,CZ,3.337
16.74018,49.41619,CZ,3.337
16.73708,49.15276,CZ,3.337
16.69216,49.07439,CZ,3.337
16.84019,49.12950,CZ,3.337
16.56729,49.56498,CZ,3.337
16.43970,49.27746,CZ,3.337
16.62793,49.14456,CZ,3.337
18.02652,49.10357,CZ,3.337
17.72777,48.88072,CZ,3.337
17.92564,49.09861,CZ,3.337
18.05132,49.03592,CZ,3.337
17.93684,49.12904,CZ,3.337
16.86179,49.96327,CZ,3.337
16.76946,49.87454,CZ,3.337
17.43856,49.70706,CZ,3.337
16.69965,49.86130,CZ,3.337
16.76196,49.71234,CZ,3.337
16.73508,49.62397,CZ,3.337
17.44801,49.68930,CZ,3.337
17.02210,50.00315,CZ,3.337
16.94081,49.88322,CZ,3.337
17.08485,50.02534,CZ,3.337
16.95356,49.78225,CZ,3.337
16.64148,49.91050,CZ,3.337
17.11353,49.82453,CZ,3.337
16.74150,49.86318,CZ,3.337
17.24561,49.67452,CZ,3.337
16.76061,49.71305,CZ,3.337
16.65319,49.74370,CZ,3.337
17.27382,49.65234,CZ,3.337
16.94627,50.16372,CZ,3.337
17.01445,49.46198,CZ,3.337
17.02028,49.46170,CZ,3.337
17.17474,49.34309,CZ,3.337
17.01507,49.40405,CZ,3.337
17.28626,49.41859,CZ,3.337
17.03160,49.36939,CZ,3.337
16.98649,49.28872,CZ,3.337
17.13846,49.47534,CZ,3.337
16.97795,49.46470,CZ,3.337
17.50573,49.21122,CZ,3.337
17.40145,49.33853,CZ,3.337
17.61250,49.43817,CZ,3.337
17.47736,49.30273,CZ,3.337
16.97949,49.46349,CZ,3.337
17.49939,49.09535,CZ,3.337
17.78099,49.21912,CZ,3.337
17.38143,49.02850,CZ,3.337
17.69330,49.03826,CZ,3.337
